

Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T21:46:22.945Z ; Ruta sin credenciales
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:01:01.299Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:01:01.301Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:01:02.721Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNDg0OSwiZXhwIjoxNzM0OTA1MTQ5fQ.xJGsFGsjmo-qTcm9MqBgJaSDfwxcGSEY77wwD972DfY
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:01:02.723Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNDg0OSwiZXhwIjoxNzM0OTA1MTQ5fQ.xJGsFGsjmo-qTcm9MqBgJaSDfwxcGSEY77wwD972DfY
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:01:02.727Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:01:02.731Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T22:01:10.156Z ; Ruta sin credenciales
Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T22:01:10.156Z ; Parametros Body :  {"email":"docente@desafiolatam.com","password":"123456u"} 
Ruta: /login ; Método: POST ; Fecha: 2024-12-22T22:01:10.220Z ; Respuesta: Password incorrecto
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:01:11.469Z ; Ruta con credenciales: Bearer undefined
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:01:11.471Z ; Ruta con credenciales: Bearer undefined
Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T22:07:27.831Z ; Ruta sin credenciales
Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T22:07:27.831Z ; Parametros Body :  {"email":"docente@desafiolatam.com","password":"1234564"} 
Ruta: /login ; Método: POST ; Fecha: 2024-12-22T22:07:28.077Z ; Respuesta: Password incorrecto
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:07:31.222Z ; Ruta con credenciales: Bearer undefined
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:07:31.223Z ; Respuesta: {"error":"Contraseña mal ingresada"}
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:07:31.229Z ; Respuesta: {"error":"Contraseña mal ingresada"}
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:07:31.227Z ; Ruta con credenciales: Bearer undefined
Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T22:07:39.358Z ; Ruta sin credenciales
Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T22:07:39.358Z ; Parametros Body :  {"email":"docente8@desafiolatam.com","password":"123456"} 
Ruta: /login ; Método: POST ; Fecha: 2024-12-22T22:07:39.500Z ; Respuesta: {"error":"Correo NO Registrado"}
Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T22:07:45.793Z ; Ruta sin credenciales
Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T22:07:45.793Z ; Parametros Body :  {"email":"docente8@desafiolatam.com","password":"123456888"} 
Ruta: /login ; Método: POST ; Fecha: 2024-12-22T22:07:45.795Z ; Respuesta: {"error":"Correo NO Registrado"}
Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T22:07:50.476Z ; Ruta sin credenciales
Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T22:07:50.476Z ; Parametros Body :  {"email":"docente8@desafiolatam.com","password":"123456888"} 
Ruta: /login ; Método: POST ; Fecha: 2024-12-22T22:07:50.478Z ; Respuesta: {"error":"Correo NO Registrado"}
Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T22:07:54.705Z ; Ruta sin credenciales
Ruta consultada: /login ; Método: POST ; Fecha: 2024-12-22T22:07:54.705Z ; Parametros Body :  {"email":"docente@desafiolatam.com","password":"123456"} 
Ruta: /login ; Método: POST ; Fecha: 2024-12-22T22:07:54.773Z ; Respuesta: {"token":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNTI3NCwiZXhwIjoxNzM0OTA1NTc0fQ.IUhNywNtxMf3412-C8xXgp9ICqR7R5bMY257fjpGd1E","email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:07:55.642Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNTI3NCwiZXhwIjoxNzM0OTA1NTc0fQ.IUhNywNtxMf3412-C8xXgp9ICqR7R5bMY257fjpGd1E
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:07:55.651Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNTI3NCwiZXhwIjoxNzM0OTA1NTc0fQ.IUhNywNtxMf3412-C8xXgp9ICqR7R5bMY257fjpGd1E
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:07:55.655Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:07:55.699Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:07:59.221Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNTI3NCwiZXhwIjoxNzM0OTA1NTc0fQ.IUhNywNtxMf3412-C8xXgp9ICqR7R5bMY257fjpGd1E
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:07:59.223Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNTI3NCwiZXhwIjoxNzM0OTA1NTc0fQ.IUhNywNtxMf3412-C8xXgp9ICqR7R5bMY257fjpGd1E
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:07:59.226Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:07:59.229Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:08:02.346Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNTI3NCwiZXhwIjoxNzM0OTA1NTc0fQ.IUhNywNtxMf3412-C8xXgp9ICqR7R5bMY257fjpGd1E
Ruta consultada: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:08:02.344Z ; Ruta con credenciales: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImRvY2VudGVAZGVzYWZpb2xhdGFtLmNvbSIsImlhdCI6MTczNDkwNTI3NCwiZXhwIjoxNzM0OTA1NTc0fQ.IUhNywNtxMf3412-C8xXgp9ICqR7R5bMY257fjpGd1E
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:08:02.354Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta: /usuarios ; Método: GET ; Fecha: 2024-12-22T22:08:02.357Z ; Respuesta: [{"email":"docente@desafiolatam.com","rol":"Backend Developer","lenguage":"Python"}]
Ruta consultada: /usuarios ; Método: POST ; Fecha: 2024-12-22T22:08:12.373Z ; Ruta sin credenciales
Ruta consultada: /usuarios ; Método: POST ; Fecha: 2024-12-22T22:08:12.373Z ; Parametros Body :  {"email":"docente@desafiolatam.com","password":"123456","rol":"Full Stack Developer","lenguage":"JavaScript"} 
Ruta: /usuarios ; Método: POST ; Fecha: 2024-12-22T22:08:12.474Z ; Respuesta: {"error":"El correo ya existe"}
Ruta: /usuarios ; Método: POST ; Fecha: 2024-12-22T22:08:12.474Z ; Respuesta: {"error":"El correo ya existe"}
